Geneid	persister_1	persister_2	persister_3	control_1	control_2	control_3
SAOUHSC_00001	20278	16818	12919	13966	19420	3942
SAOUHSC_00002	15761	12015	11019	11919	14852	2075
SAOUHSC_00003	1563	1187	823	1316	966	120
SAOUHSC_00004	13734	11296	9770	7504	6630	838
SAOUHSC_00005	29294	26225	23993	12005	12050	3484
SAOUHSC_00006	44446	32814	31602	18723	12298	3967
SAOUHSC_00007	6826	4721	4597	3491	4978	1203
SAOUHSC_00008	2696	2247	2072	1182	1843	293
SAOUHSC_00009	2193	1836	1231	40141	77812	13343
SAOUHSC_00010	180	160	131	2077	4575	264
SAOUHSC_00012	155	134	125	1141	2740	294
SAOUHSC_00013	1065	1123	814	4542	8798	1869
SAOUHSC_00014	4446	3337	3391	6861	8751	1160
SAOUHSC_00015	25447	21611	22168	20717	25659	5766
SAOUHSC_00017	6330	5500	5621	5218	6482	1042
SAOUHSC_00018	11556	10260	8627	14269	19466	6288
SAOUHSC_00019	6811	6149	6752	8513	5185	3211
SAOUHSC_T00018	80	42	36	45	7	128
SAOUHSC_T00011	369	312	159	229	31	200
SAOUHSC_00020	3638	3428	2538	3862	5943	916
SAOUHSC_00021	11930	10337	8060	11274	13059	6156
SAOUHSC_00022	12710	10826	8929	10210	12002	1984
SAOUHSC_00023	9425	7779	7245	6814	8106	2075
SAOUHSC_00024	2402	1432	1562	1280	1035	364
SAOUHSC_00025	1631	1134	1209	1001	1377	657
SAOUHSC_00026	375	229	342	62	49	16
SAOUHSC_00027	1259	1126	865	1244	2107	676
SAOUHSC_00028	2	3	3	2	0	3
SAOUHSC_00029	5	7	16	53	104	13
SAOUHSC_00030	1275	941	964	2319	3893	293
SAOUHSC_00031	28203	17900	29520	1776	2000	311
SAOUHSC_00032	49	27	124	18	35	18
SAOUHSC_00033	14002	9309	15986	1358	1039	138
SAOUHSC_00034	3596	2716	3216	306	292	15
SAOUHSC_00035	24561	16320	25353	941	383	36
SAOUHSC_00036	46588	32563	48264	2023	1098	272
SAOUHSC_00037	45066	29417	42498	8508	8129	3303
SAOUHSC_00038	223	171	124	174	132	14
SAOUHSC_00039	2953	2505	1921	3156	4109	1975
SAOUHSC_00040	18	14	16	20	39	6
SAOUHSC_00041	639	510	493	407	561	57
SAOUHSC_00042	341	213	247	384	497	42
SAOUHSC_00043	168	91	95	97	130	24
SAOUHSC_00044	1847	1289	1512	728	907	58
SAOUHSC_00045	90	61	112	234	437	61
SAOUHSC_00046	391	303	336	457	679	27
SAOUHSC_00047	554	321	383	438	883	42
SAOUHSC_00049	2450	1649	1870	2330	3175	310
SAOUHSC_00050	1459	896	1188	926	1292	111
SAOUHSC_00051	363	170	193	454	661	194
SAOUHSC_00052	169	91	116	85	140	17
SAOUHSC_00053	234	165	217	189	362	28
SAOUHSC_00054	374	282	299	255	406	42
SAOUHSC_00055	532	348	409	305	452	39
SAOUHSC_00056	2728	2166	1841	3358	5006	463
SAOUHSC_00057	537	493	366	755	910	279
SAOUHSC_00058	930	660	597	1184	1877	400
SAOUHSC_00060	1739	1373	1813	2097	1761	757
SAOUHSC_00061	1797	1221	1188	1657	2397	716
SAOUHSC_00062	77	26	47	18	20	3
SAOUHSC_00064	135	84	98	214	237	26
SAOUHSC_00065	345	280	256	1663	1991	306
SAOUHSC_00067	5244	3791	3723	6029	7506	2159
SAOUHSC_00069	2129	2247	1483	8914	5058	876
SAOUHSC_00070	358	260	304	951	1052	50
